title,description,emotion
Kab Hoi Gawna Hamar,Pain of separation in marriage.,Sad
Bidaai,A bride's emotional farewell.,Sad
Sasura Bada Paisawala,Money changes family values.,Sad
Dulha Hindustani,Love tested by social barriers.,Sad
Pratigya,Revenge born from injustice.,Sad
Balma Biharwala,Love and betrayal.,Sad
Laagi Nahi Chhute Rama,Enduring love despite hardships.,Sad
Beta,A son's emotional struggle.,Sad
Nirahua Chalal London,Love blossoms across borders.,Romantic
Patna Se Pakistan,Love and patriotism.,Romantic
Doli Saja Ke Rakhna,Traditional love story.,Romantic
Hum Hai Jodi No.1,Fun-filled romance.,Romantic
Gharwali Baharwali,Love triangle drama.,Romantic
Sajan Chale Sasural,Comedy-romance.,Romantic
Dil Hai Ki Manta Nahin,Stubborn love.,Romantic
Prem Geet,Musical love story.,Romantic
Laila Majnu,Classic love retold.,Romantic
Aashiq Aawara,Youthful romance.,Romantic
Sasural Genda Phool,Family comedy entertainer.,Happy
Hamar Sasura Bada Paisawala,Comedy with message.,Happy
Ganga Jamuna Saraswati,Family bonding.,Happy
Dabang Sarkar,Action with humor.,Happy
Jigarwala,Friendship and fun.,Happy
Raja Babu,Light-hearted entertainer.,Happy
Border Ke Fauji,Patriotic fun.,Happy
Main Sehra Bandh Ke Aaunga,Romantic comedy.,Happy
Coolie No.1,Comedy drama.,Happy
Dulha Albela,Village fun.,Happy
Crack Fighter,Crime and action thriller.,Thriller
Patna Se Pakistan 2,Spy thriller.,Thriller
Gunday,Crime rivalry.,Thriller
Zanjeerwala,Justice-driven action.,Thriller
Kashi Vishwanath,Crime and redemption.,Thriller
Sher Singh,Power and revenge.,Thriller
Wanted,Manhunt thriller.,Thriller
Muqabla,Rivalry and action.,Thriller
Yodha Arjun Pandit,Hero vs system.,Thriller
Dabang Aashiq,Love and crime.,Thriller
Jai Gangaajal,Fighting corruption.,Motivational
Desh Drohi,Patriotism.,Motivational
Ganga Devi,Woman empowerment.,Motivational
Veer Yodha Mahabali,Courage and valor.,Motivational
Satyamev Jayate,Truth wins.,Motivational
Policewala Gunda,Justice-driven story.,Motivational
Himmatwala,Never give up.,Motivational
Yuvraj,Leadership journey.,Motivational
Pratiggya 2,Standing against injustice.,Motivational
Ziddi Aashiq,Determination wins.,Motivational
